Country Name;Indicator Name;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Middle income;GDP per capita (current US$);232688945883124;28511175453548;338209153446917;326124122309607;391813165685667;457663756023919;482599649764078;505292471181284;517699322705553;485193794932743;481979009131904
Macedonia;GDP per capita (current US$);33256358088571;403620276983476;479344366858209;454400883488258;454289971678317;506378698606358;469814129350594;521067583028154;546848086914212;484027312286783;512915896023703
Mali;GDP per capita (current US$);522578372431972;596690188823963;69088243975853;698218382466668;709581964584771;836509809417356;778669462492053;805259668494187;847150386296709;751170593517089;779874933008414
Malta;GDP per capita (current US$);166715671992638;19375569601363;219287006740562;206755825862064;211073644349639;228459048853838;219268083687432;238386143979371;260120153054014;240770108248549;251515196168932
Myanmar;GDP per capita (current US$);294163181308112;406728689152252;638149059869843;73444600674882;979051630004942;117624245336109;116579432896131;116233144011893;125182076450814;113300281580351;119249533785043
Middle East & North Africa (excluding high income);GDP per capita (current US$);261753904328286;31794328064281;384744082386635;365910046142979;415858262972105;463073898504246;501192636523737;462441824653923;447019939639617;396149105780758;39380059531608
Montenegro;GDP per capita (current US$);442567887307803;597639192211767;736775190910882;672710551982115;668228115774575;731874469026724;65867212793222;718643192406181;737834528902948;651427269528653;702893657685094
Mongolia;GDP per capita (current US$);133421168135831;163272695225898;213656321364601;171436054504148;264329291416763;37575586328813;43518869200565;436607590145025;415852571473091;391857917389554;366015074616061
Northern Mariana Islands;GDP per capita (current US$);177159013635876;169869066806715;171899313501144;146697913014596;148042467250931;135710582833444;138277696967465;142742406542056;152789078745141;166905700968089;222467430768136
Mozambique;GDP per capita (current US$);434034028823205;480933520061827;564479487690857;519760404713804;471181692645893;594586466669704;657645337819668;664078211827767;673969955508106;589859028149831;428926487995524
Mauritania;GDP per capita (current US$);977123563204253;104816092158542;122292545175923;107923310823946;124142875621618;14356354154142;141135283025415;147736153924563;137158434966602;119340059592486;112388816589683
Mauritius;GDP per capita (current US$);569596932704928;657465433811493;803006300537304;731812640972422;800037643182154;919702697152061;929122761861899;963700265000958;101539382184867;926044730250635;968161856689674
Malawi;GDP per capita (current US$);30816347571141;332259144361638;387605975305468;438212042916878;478668589704525;534951264721663;391561832360636;348430269640572;371269749625713;380597033140938;315777326372575
Malaysia;GDP per capita (current US$);620912450825631;724345598744703;847458682876228;729249444727908;904056625117172;10399372753345;108174428742856;109701232849014;113190797572756;995524212653611;981774086096214
